assists_by,assists_for,match_id,minutes_played,num_assists,num_goals,num_nutmegs,opponent,season_id
{'Luis Alberto Suárez Díaz': 1},{},266531.0,90.0,0.0,1.0,1.0,Espanyol,26.0
{'Sergio Busquets i Burgos': 1},{},266921.0,90.0,0.0,2.0,0.0,Elche,26.0
{},{},267499.0,90.0,0.0,0.0,0.0,Almería,26.0
"{'Pedro Eliezer Rodríguez Ledesma': 1, 'Marc Bartra Aregall': 1}",{'Neymar da Silva Santos Junior': 1},266741.0,90.0,1.0,3.0,0.0,Levante,26.0
{},"{'Luis Alberto Suárez Díaz': 1, 'Neymar da Silva Santos Junior': 1}",266871.0,90.0,2.0,1.0,0.0,Athletic Club,26.0
{'Ivan Rakitić': 1},{},266967.0,90.0,0.0,2.0,3.0,Eibar,26.0
{},{},266929.0,90.0,0.0,0.0,1.0,Celta Vigo,26.0
{},"{'Sandro Ramírez Castillo': 1, 'Neymar da Silva Santos Junior': 1}",266770.0,90.0,2.0,1.0,1.0,Levante,26.0
{'Neymar da Silva Santos Junior': 1},{},266142.0,90.0,0.0,1.0,0.0,Sevilla,26.0
{},{},267368.0,90.0,0.0,2.0,0.0,Real Betis,25.0
{'Neymar da Silva Santos Junior': 1},{},70301.0,90.0,0.0,1.0,0.0,Sevilla,25.0
"{'Francesc Fàbregas i Soler': 2, 'Neymar da Silva Santos Junior': 1}",{},70298.0,90.0,0.0,3.0,0.0,Valencia,25.0
{},{'Pedro Eliezer Rodríguez Ledesma': 1},70302.0,90.0,1.0,0.0,0.0,Rayo Vallecano,25.0
{},{'Pedro Eliezer Rodríguez Ledesma': 1},70291.0,90.0,1.0,0.0,0.0,Málaga,25.0
{},{},267138.0,90.0,0.0,0.0,1.0,Granada,25.0
{'Neymar da Silva Santos Junior': 1},{'Marc Bartra Aregall': 1},267520.0,90.0,1.0,1.0,0.0,Real Sociedad,25.0
{'Francesc Fàbregas i Soler': 1},{},70289.0,90.0,0.0,1.0,1.0,Villarreal,25.0
{},{},266066.0,90.0,0.0,1.0,0.0,Almería,25.0
"{'Pedro Eliezer Rodríguez Ledesma': 1, 'Andrés Iniesta Luján': 1}",{'Alexis Alejandro Sánchez Sánchez': 1},267675.0,90.0,1.0,2.0,0.0,Sevilla,25.0
{},{},70288.0,90.0,0.0,0.0,0.0,Levante,25.0
